true_label,window_size_ms,stride_ms,fold_seed,train_windows,test_windows,val_subjects,best_epoch,val_j,val_f1,val_acc,threshold,test_median_prob,test_pred,test_correct,signed_margin,fold,pid,window_label,train_subjects,validation_subjects_available
1,2000,1000,43,10222,77,9,5,0.9999999550000009,1.0,1.0,0.46000000000000013,0.52294921875,1,1,0.06294921874999987,1,1,2000/1000,47,9
1,1500,750,43,14589,108,9,4,0.9999999550000009,1.0,1.0,0.5000000000000002,0.4990234375,0,0,-0.000976562500000222,1,1,1500/750,47,9
1,1000,500,43,23183,170,9,2,0.9999999550000009,1.0,1.0,0.4300000000000001,0.49560546875,1,1,0.0656054687499999,1,1,1000/500,47,9
1,2000,500,43,19781,142,9,3,0.9999999550000009,1.0,1.0,0.46000000000000013,0.44873046875,0,0,-0.011269531250000131,1,1,2000/500,47,9
1,2000,1000,44,10943,56,9,1,0.9999999550000009,1.0,1.0,0.48000000000000015,0.533203125,1,1,0.05320312499999985,2,2,2000/1000,47,9
1,1500,750,44,15597,87,9,1,0.9999999550000009,1.0,1.0,0.4400000000000001,0.54931640625,1,1,0.10931640624999989,2,2,1500/750,47,9
1,1000,500,44,24812,143,9,1,0.9999999550000009,1.0,1.0,0.38000000000000006,0.55224609375,1,1,0.17224609374999994,2,2,1000/500,47,9
1,2000,500,44,21164,99,9,1,0.9999999550000009,1.0,1.0,0.37000000000000005,0.51806640625,1,1,0.14806640624999995,2,2,2000/500,47,9
1,2000,1000,45,10712,93,9,21,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.23095703125,0,0,-0.06904296874999999,3,3,2000/1000,47,9
1,1500,750,45,15294,143,9,11,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.3,0.287841796875,0,0,-0.012158203124999989,3,3,1500/750,47,9
1,1000,500,45,24342,232,9,16,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.330078125,1,1,0.03007812500000001,3,3,1000/500,47,9
1,2000,500,45,20737,168,9,12,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.36000000000000004,0.30078125,0,0,-0.05921875000000004,3,3,2000/500,47,9
1,2000,1000,46,10762,94,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.31,0.453857421875,1,1,0.143857421875,4,4,2000/1000,47,9
1,1500,750,46,15338,142,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.31,0.54833984375,1,1,0.23833984375,4,4,1500/750,47,9
1,1000,500,46,24349,243,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.36000000000000004,0.44970703125,1,1,0.08970703124999996,4,4,1000/500,47,9
1,2000,500,46,20835,161,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.33,0.43896484375,1,1,0.10896484374999998,4,4,2000/500,47,9
1,2000,1000,47,10761,78,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.49000000000000016,0.486328125,0,0,-0.0036718750000001577,5,5,2000/1000,47,9
1,1500,750,47,15348,111,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.48000000000000015,0.449951171875,0,0,-0.03004882812500015,5,5,1500/750,47,9
1,1000,500,47,24383,182,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.4500000000000001,0.4033203125,0,0,-0.04667968750000012,5,5,1000/500,47,9
1,2000,500,47,20843,139,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.6200000000000003,0.43798828125,0,0,-0.18201171875000033,5,5,2000/500,47,9
1,2000,1000,48,10508,87,9,8,0.9999999550000009,1.0,1.0,0.5200000000000002,0.54150390625,1,1,0.02150390624999976,6,6,2000/1000,47,9
